[0.96s]  When we hear about cholesterol, usually what comes to mind is LDL and HDL as shown here.
[6.88s]  But there are other forms of cholesterol that impact health.
[10.00s]  And these include lipoprotein A, so LP little a, but also remnant cholesterol, which is defined
[17.20s]  in the fasting situation as the combination of intermediate density lipoprotein, IDL,
[22.96s]  and very low density lipoprotein, VLDL.
[26.64s]  And again, in the fasting state, this can be calculated by the formula total cholesterol
[31.36s]  TC minus HDL minus LDL equals remnant cholesterol or IDL plus VLDL.
[38.80s]  So in this video, I'm going to talk about VLDL.
[41.52s]  So why is VLDL important?
[44.16s]  First, it's a marker of fatty liver.
[46.32s]  So let's walk our way through this data.
[48.64s]  So in the situation where there's obesity and insulin resistance and, or a hypercaloric diet,
[55.44s]  these situations trigger an increase in lipolysis.
[58.88s]  So fat breakdown in adipose tissue, which leads to systemic increases in free fatty acids, FFAs.
[66.00s]  Now also note that a hypercaloric diet on its own can induce increases in circulating levels of free
[72.32s]  fatty acids.
[73.36s]  So increased circulating levels of free fatty acids are then taken up by the liver, where they are
[77.44s]  packaged into TGs, triglycerides.
[79.84s]  And then with an increase in triglycerides in the liver, this leads to accumulation of
[84.64s]  lipid droplets in the liver, which is known as steatosis.
[88.88s]  Now, additionally, when there's an increase in lipid droplets in a given tissue, in this case,
[92.72s]  the liver, these lipid droplets are packaged with cholesterol and other membrane proteins into VLDL.
[99.92s]  So if there are increased circulating levels of VLDL, that can be one measure of a fatty liver.
[106.80s]  So also note that VLDL increases during aging and higher levels of VLDL are associated with heart
[113.52s]  disease related outcomes.
[114.48s]  So let's have a look at that data.
[116.64s]  So here we can see aging related data for VLDL.
[120.56s]  VLDL and in youth, defined as men that are 15 to 24 years old, men and women that are 15 to 24 years old,
[129.60s]  we can see that VLDL less than 20 in men and less than 15 in women is found in youth.
[134.96s]  And then going through aging, so going from 25 years old up to 79 years old for both men and women,
[141.52s]  we can see that VLDL levels increase up to about 30 in both men and women.
[146.88s]  So also note that higher levels of VLDL are associated with an increased cardiovascular disease risk.
[152.56s]  And in this case, cardiovascular disease was defined as risk for acute myocardial infarction.
[158.08s]  So heart attack, sudden coronary death and other coronary death.
[162.32s]  So in this study, when using less than 20 milligrams per deciliter for VLDL, as the reference,
[167.68s]  we can see that having VLDL in the 20 to 29 range, uh, or, uh, greater than 30 was associated
[175.20s]  with a significantly increased risk for adverse cardiovascular disease related outcomes. So
[180.16s]  for, uh, in the 20 to 29 range, it was associated with a 38% increased risk and, uh, VLDL greater
[186.00s]  than 30 when combined, uh, when compared to less than 20 was associated with a 44% increased risk for
[191.68s]  these adverse cardiovascular disease related outcomes. Now, other studies independent of the,
[197.20s]  you know, the association for VLDL with cardiovascular disease risk, other studies have evaluated
[202.24s]  associations for remnant cholesterol with cardiovascular CBD, uh, cardiovascular disease risk.
[208.56s]  So, uh, if you remember on the first slide, remnant cholesterol, uh, in the fasting state is defined
[213.44s]  as the sum of VLDL plus IDL. Now, uh, it may be that remnant cholesterol is almost exclusively VLDL.
[221.04s]  So here's my, uh, just as an example, my, my data from my last blood test, and it includes total
[226.88s]  cholesterol, HDL, VLDL, and LDL. And if you remember the calculation for remnant cholesterol,
[232.48s]  which equals total cholesterol minus LDL minus HDL again, and only in the fasting state,
[237.76s]  we can see that my VLDL equals 13 and there's no IDL. So from this, I would posit that studies
[243.28s]  that have reported remnant cholesterol in the fasting state, as I'm going to show these three
[246.56s]  studies going forward, uh, when they report remnant cholesterol, it's almost exclusively VLDL.
[251.92s]  So in this study, remnant cholesterol, but not LDL cholesterol was associated with the
[256.32s]  incidence of cardiovascular disease. And in this case, cardiovascular disease was defined as
[261.12s]  risk for heart attack, stroke, or, or cardiovascular death. So was, uh, HDL or LDL associated with these
[268.72s]  adverse cardiovascular disease related outcomes. And this is in the study of about 6,900 subjects.
[274.16s]  So first HDL was not associated with these adverse cardiovascular disease related outcomes. As you can
[279.92s]  see, when comparing people who didn't have a cardiovascular event with people who had a cardiovascular event,
[284.48s]  HDL levels were not significantly different. And then when looking at it as a continuous variable,
[288.32s]  so higher levels of HDL, are they associated with, uh, risk in, in other words, the hazard ratio, did it increase?
[294.40s]  Uh, and it didn't, you can see by the P value. Similarly, LDL was not different between the two groups,
[299.76s]  no event versus event and higher levels of LDL were not associated with a higher risk, a significantly higher risk
[305.20s]  for any of these cardiovascular disease related outcomes. In contrast, remnant cholesterol,
[310.48s]  which again, this is data in the fasting state. So it is likely mostly from VLDL. We can see that
[317.20s]  higher levels of remnant cholesterol were found in people who had a cardiovascular event when compared
[321.36s]  with no event. And then for every 10 milligrams per deciliter increase for remnant cholesterol,
[326.08s]  there was a 21% increased risk for having one of these adverse cardiovascular disease related events.
[332.24s]  Now, while that says that higher is higher for remnant cholesterol is associated with worse
[337.36s]  cardiovascular disease related outcomes. It doesn't indicate more specific values for what
[343.12s]  could be bad for, uh, increasing risk. So to assess that the authors of the study then looked at
[348.08s]  core tiles of remnant cholesterol, uh, in, in association with risk for heart attack,
[352.24s]  stroke and cardiovascular death or cardiovascular death. And when using less than 17.5 as the
[358.24s]  reference for remnant cholesterol, we can see that significantly increased risk for one of these
[362.24s]  adverse cardiovascular disease related outcomes was present only when the, uh, remnant cholesterol
