[0.40s]  Is relying solely on data from published studies a suboptimal strategy for optimal health?
[5.98s]  To illustrate what I mean by that, let's have a look at red blood cells.
[9.14s]  In particular, the reference range, as defined by LabCorp,
[12.14s]  which is 4.14 to 5.8 million red blood cells per microliter of blood.
[17.26s]  So, with the goal of optimizing health and longevity,
[19.96s]  should red blood cells be low, mid-range, or high?
[22.68s]  Let's have a look at how red blood cells change during aging to try to answer that question.
[27.36s]  So, starting in youth, we can see that the data for men in green and for women in blue,
[32.48s]  that red blood cells decline during aging for both men and women.
[35.66s]  So, starting with the data for men, we can see that clear decline with the green line.
[39.06s]  And then for the women, the data is a little bit more variable with a decline in red blood cells
[43.80s]  and then an increase up until about 55 years old,
[47.24s]  after which red blood cells consistently decline up until 95 years old.
[51.98s]  So, when considering these data, this suggests that having relatively higher levels of red blood cells is youthful.
[58.74s]  So, with that in mind, is the higher end of the reference range for red blood cells optimal for health and longevity?
[64.32s]  So, to try to answer that question, let's have a look at my own red blood cell data since 2008.
[70.16s]  And I've blood tested 36 times over that time span, so the last 13 years.
[74.20s]  And from 2008 to 2013, I was measuring about once a year, so annually at my yearly physical,
[81.00s]  and I wasn't tracking my diet at all.
[83.00s]  And my average red blood cell level during those six measurements was 4.96.
[88.16s]  So, when then going back to the data on the left, we can see that I'm higher than the green line,
[94.46s]  which, based on having relatively higher levels of red blood cells in youth,
[98.60s]  one would expect that that should be okay or good.
[102.46s]  And then, in 2015, I started tracking my diet, including weighing all my food,
[106.46s]  entering that data into chronometer, and then putting all that data into an Excel file
[110.22s]  so that I could start to look at correlations between my diet with these biomarkers.
[115.12s]  And during that four-year span, from 2015 to 2019, I blood tested 17 times,
[120.08s]  and my average red blood cell level during those 17 tests was 4.62.
[124.72s]  So, then when going back to the curve, or actually before we go back to the curve,
[129.24s]  so note that these two groups of data from 2008 to 2013 versus the 17 blood tests from 2015 to 2019
[135.70s]  are significantly different when using a two-sample T-test.
[139.86s]  So, now going over to the curve back on the left, now we can see I'm on the aging curve,
[144.16s]  which is bad news.
[146.42s]  I'm not trying to have red blood cell levels that are characteristic of my chronological age.
[150.88s]  I want to have red blood cell levels that are characteristic of youth.
[153.52s]  And to keep them there for as long as I can.
[157.26s]  So, because I track my diet, I can do interventions,
[162.12s]  changing various things in my diet to try to improve these biomarkers.
[166.12s]  And I had success with that, as we can see over the last 13 measurements,
[169.36s]  from later in 2019 to my last blood test in November of 2021,
[174.04s]  we can see that my average red blood cell count is 5.1.
[177.24s]  So, now going back to the curve on the left, we can see that I'm back higher than the curve.
[184.18s]  And when compared with my data from 2008 to 2013, the recent data, 5.1,
[190.04s]  is actually significantly higher when compared with the 4.96 for my first six measurements.
[195.42s]  And also note that from the 2015 to 2019 data, those 17 blood tests, when compared with my last 13 blood tests,
[202.16s]  I was able to significantly increase those red blood cells when using a two-sample T-test to evaluate statistical significance.
[210.50s]  So, the assumption is that having relatively higher red blood cells is optimal as they decline during aging.
[216.16s]  But is that true?
[217.22s]  Is my 5.1 value for red blood cells too high?
[222.22s]  So, to help answer that question, evaluating correlations for red blood cells with other systemic biomarkers can help discern what's optimal.
[230.36s]  So, what are these systemic biomarkers, which I've referred to in recent videos as the big picture biomarkers?
[237.16s]  And that's what's shown here.
[238.28s]  There are 23 of them.
[239.46s]  Usually there are 24, including red blood cells.
[241.78s]  But because I'm going to look for correlations between red blood cells with these biomarkers,
[246.56s]  obviously red blood cells, you can't correlate them with themselves.
[249.52s]  So, just running through this real quick as I've presented them in other videos,
[252.88s]  what do these big picture biomarkers include?
[255.80s]  They include glucose and homocysteine, and then three markers of kidney function,
